indicator,type,topic,description,response,year,respondent_group,sample_size,result,format
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),2022,55-64 years,118,79.1,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),2022,Male,586,73.1,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),2022,Carlton 3053,176,71.4,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),2022,Docklands 3008,125,74.6,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),2022,Kensington / Flemington 3031,121,76.1,Average
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,2022,25-34 years,466,15.2,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,2022,65+ years,133,1.7,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,2022,Female,890,11.9,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,2022,Carlton 3053,174,16.9,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,2022,South Wharf / Southbank 3006,168,10.7,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,2022,35-44 years,237,4.9,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,2022,Female,894,11.7,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,2022,Carlton 3053,174,14.2,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,2022,Docklands 3008,124,10.7,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,2022,East Melbourne 3002,91,4.5,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,2022,North Melbourne 3051 / West Melbourne 3003,241,17.9,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,2022,South Wharf / Southbank 3006,166,9.2,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",2022,45-54 years,120,55.0,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",2022,65+ years,130,57.2,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",2022,Male,558,50.7,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",2022,Carlton 3053,165,44.3,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",2022,Docklands 3008,117,54.3,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",2022,Kensington / Flemington 3031,116,57.1,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,121,52.7,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,2022,25-34 years,471,95.7,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,2022,55-64 years,117,89.5,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,2022,Female,891,96.7,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,2022,Male,582,91.8,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,2022,Carlton 3053,173,94.9,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,2022,East Melbourne 3002,90,96.0,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,2022,Melbourne 3000,360,97.1,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,2022,Parkville 3052,96,95.6,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,2022,South Wharf / Southbank 3006,169,86.4,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",2022,18-24 years,412,37.3,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",2022,Male,586,30.5,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",2022,Carlton 3053,176,30.8,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",2022,City of Melbourne,1492,30.6,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",2022,Docklands 3008,124,32.8,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",2022,East Melbourne 3002,90,41.0,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",2022,Melbourne 3000,355,30.0,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",2022,North Melbourne 3051 / West Melbourne 3003,239,27.2,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",2022,Parkville 3052,96,33.5,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",2022,18-24 years,409,24.7,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",2022,35-44 years,235,10.9,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",2022,Carlton 3053,174,20.1,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",2022,North Melbourne 3051 / West Melbourne 3003,238,18.8,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",2022,South Wharf / Southbank 3006,165,21.4,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",2022,Female,897,16.0,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",2022,Male,588,19.3,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",2022,Docklands 3008,125,16.6,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",2022,East Melbourne 3002,91,8.9,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",2022,Melbourne 3000,363,21.3,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",2022,Parkville 3052,96,24.2,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",2022,35-44 years,238,63.8,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",2022,65+ years,133,28.3,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",2022,Female,897,70.9,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",2022,Melbourne 3000,363,73.2,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",2022,North Melbourne 3051 / West Melbourne 3003,242,74.9,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,125,59.4,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,2022,35-44 years,225,96.0,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,2022,45-54 years,120,93.7,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,2022,Male,551,91.5,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,2022,East Melbourne 3002,87,85.0,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,2022,Kensington / Flemington 3031,119,97.5,Per cent
15,Other,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",2022,Carlton 3053,176,61.7,Per cent
15,Other,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",2022,Docklands 3008,125,47.3,Per cent
15,Other,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",2022,Kensington / Flemington 3031,121,63.1,Per cent
15,Other,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",2022,Melbourne 3000,363,59.1,Per cent
15,Other,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",2022,North Melbourne 3051 / West Melbourne 3003,242,65.3,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,2022,18-24 years,417,8.8,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,2022,25-34 years,473,9.1,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,2022,45-54 years,122,13.9,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,2022,Male,588,9.1,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,2022,East Melbourne 3002,91,4.4,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,2022,Kensington / Flemington 3031,121,8.8,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,2022,North Melbourne 3051 / West Melbourne 3003,242,12.2,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,2022,Parkville 3052,96,13.7,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",2022,18-24 years,417,69.2,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",2022,35-44 years,238,66.7,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",2022,65+ years,133,49.7,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",2022,Male,588,69.9,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",2022,East Melbourne 3002,91,74.5,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",2022,North Melbourne 3051 / West Melbourne 3003,242,64.3,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",2022,35-44 years,238,56.1,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",2022,65+ years,133,38.4,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",2022,Female,897,50.5,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",2022,City of Melbourne,1508,56.5,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",2022,Docklands 3008,125,61.9,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",2022,East Melbourne 3002,91,58.3,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",2022,Parkville 3052,96,61.4,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",2022,South Wharf / Southbank 3006,169,60.0,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,125,48.7,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",2022,18-24 years,417,26.1,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",2022,25-34 years,473,20.2,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",2022,East Melbourne 3002,91,23.2,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",2022,Melbourne 3000,363,19.9,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",2022,Parkville 3052,96,29.4,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,125,15.6,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",2022,65+ years,133,4.8,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",2022,Docklands 3008,125,9.6,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",2022,East Melbourne 3002,91,17.8,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",2022,Melbourne 3000,363,9.8,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",2022,North Melbourne 3051 / West Melbourne 3003,242,7.7,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",2022,Parkville 3052,96,10.9,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",2022,South Wharf / Southbank 3006,169,9.4,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",2022,18-24 years,417,15.4,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",2022,25-34 years,473,7.2,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",2022,City of Melbourne,1508,10.4,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",2022,East Melbourne 3002,91,6.5,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",2022,Kensington / Flemington 3031,121,12.7,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,2022,25-34 years,473,52.2,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,2022,55-64 years,118,43.5,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,2022,65+ years,133,30.9,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,2022,Kensington / Flemington 3031,121,54.9,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,2022,Melbourne 3000,363,45.4,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,2022,65+ years,133,63.7,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,2022,Carlton 3053,176,38.1,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,2022,North Melbourne 3051 / West Melbourne 3003,242,37.5,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,2022,South Wharf / Southbank 3006,169,46.5,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",2022,65+ years,133,39.4,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",2022,Carlton 3053,176,28.4,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",2022,City of Melbourne,1508,36.6,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",2022,Docklands 3008,125,47.7,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",2022,East Melbourne 3002,91,45.1,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",2022,South Wharf / Southbank 3006,169,36.4,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,125,15.8,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",2022,25-34 years,473,34.1,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",2022,35-44 years,238,21.0,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",2022,65+ years,133,2.7,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",2022,Female,897,33.0,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",2022,City of Melbourne,1508,31.7,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",2022,Docklands 3008,125,26.2,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",2022,Melbourne 3000,363,35.8,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",2022,North Melbourne 3051 / West Melbourne 3003,242,37.2,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",2022,Parkville 3052,96,39.5,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",2022,55-64 years,118,3.1,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",2022,65+ years,133,2.5,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",2022,Docklands 3008,123,21.2,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",2022,Kensington / Flemington 3031,121,11.7,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",2022,Melbourne 3000,361,23.3,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",2022,North Melbourne 3051 / West Melbourne 3003,241,26.1,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",2022,Parkville 3052,96,30.3,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,123,15.4,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",2022,55-64 years,118,6.3,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",2022,65+ years,133,2.7,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",2022,Docklands 3008,124,13.5,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",2022,South Wharf / Southbank 3006,166,13.9,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",2022,Female,882,13.4,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",2022,Male,582,12.6,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",2022,Docklands 3008,124,10.3,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",2022,North Melbourne 3051 / West Melbourne 3003,236,19.0,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",2022,South Wharf / Southbank 3006,164,11.6,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,124,11.6,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",2022,55-64 years,118,2.6,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",2022,City of Melbourne,1508,10.2,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",2022,Docklands 3008,125,6.9,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",2022,Kensington / Flemington 3031,121,4.1,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",2022,Melbourne 3000,363,13.9,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",2022,North Melbourne 3051 / West Melbourne 3003,242,7.6,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,2022,25-34 years,471,85.3,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,2022,45-54 years,122,79.8,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,2022,65+ years,132,93.7,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,2022,Female,891,87.3,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,2022,Male,585,86.2,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,2022,Carlton 3053,176,80.2,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,2022,North Melbourne 3051 / West Melbourne 3003,239,86.8,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,2022,Parkville 3052,96,87.5,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,124,93.5,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,2022,18-24 years,407,48.7,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,2022,25-34 years,470,59.9,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,2022,35-44 years,236,63.7,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,2022,45-54 years,121,57.9,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,2022,55-64 years,114,67.6,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,2022,Docklands 3008,121,64.6,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,2022,Parkville 3052,95,59.7,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,124,64.9,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,2022,55-64 years,103,97.2,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,2022,Carlton 3053,166,74.5,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,2022,East Melbourne 3002,78,72.4,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,2022,Melbourne 3000,356,81.6,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,2022,North Melbourne 3051 / West Melbourne 3003,223,79.6,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,115,81.0,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,2022,45-54 years,99,60.6,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,2022,East Melbourne 3002,69,57.7,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,2022,Melbourne 3000,340,48.0,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,2022,North Melbourne 3051 / West Melbourne 3003,206,47.2,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,2022,South Wharf / Southbank 3006,151,55.2,Per cent
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),2022,25-34 years,458,72.0,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),2022,East Melbourne 3002,86,79.0,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),2022,Kensington / Flemington 3031,114,75.5,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,116,71.7,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),2022,25-34 years,458,75.2,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),2022,45-54 years,121,76.5,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),2022,65+ years,121,81.7,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),2022,Male,558,76.0,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),2022,City of Melbourne,1444,75.9,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),2022,South Wharf / Southbank 3006,163,79.1,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,116,76.3,Average
